sale_id,date,item,qty,amount,status
S00093,2025-01-05,filter coffee,3,9.00,paid
S00094,2025-01-05,seed rye,1,8.25,paid
S00095,2025-01-05,croissant,1,3.75,paid
S00096,2025-01-05,croissant,3,11.25,paid
S00097,2025-01-06,sourdough loaf,2,15.00,paid
S00098,2025-01-06,filter coffee,1,3.00,paid
S00099,2025-01-06,croissant,1,3.75,paid
S00100,2025-01-06,cinnamon bun,1,4.25,paid
S00101,2025-01-06,cinnamon bun,1,4.25,paid
S00102,2025-01-06,filter coffee,3,9.00,paid
S00103,2025-01-06,cinnamon bun,1,,paid
S00104,2025-01-06,sourdough loaf,1,7.50,paid
S00105,2025-01-07,seed rye,1,8.25,paid
S00106,2025-01-07,sourdough loaf,1,7.50,paid
S00107,2025-01-08,cinnamon bun,2,8.50,paid
S00108,2025-01-08,sourdough loaf,3,22.50,paid
S00109,2025-01-08,sourdough loaf,1,7.50,paid
S00110,2025-01-08,cinnamon bun,2,8.50,paid
S00111,2025-01-08,cinnamon bun,1,4.25,paid
S00112,2025-01-08,apple tart,1,5.50,paid
S00113,2025-01-08,croissant,1,3.75,paid
S00114,2025-01-08,cinnamon bun,2,8.50,paid
S00115,2025-01-08,seed rye,1,8.25,paid
S00116,2025-01-08,sourdough loaf,3,22.50,paid
S00117,2025-01-08,cinnamon bun,1,4.25,paid
S00118,2025-01-08,apple tart,2,11.00,paid
S00119,2025-01-08,croissant,2,7.50,paid
S00120,2025-01-08,sourdough loaf,1,7.50,paid
S00121,2025-01-08,seed rye,2,16.50,paid
S00122,2025-01-08,filter coffee,2,6.00,paid
S00123,2025-01-08,apple tart,1,5.50,paid
S00124,2025-01-08,filter coffee,1,3.00,paid
S00125,2025-01-09,cinnamon bun,1,4.25,paid
S00126,2025-01-09,sourdough loaf,1,7.50,paid
S00127,2025-01-09,seed rye,1,8.25,paid
S00128,2025-01-09,apple tart,1,5.50,paid
S00129,2025-01-09,apple tart,3,16.50,paid
S00130,2025-01-09,filter coffee,1,3.00,paid
S00131,2025-01-09,sourdough loaf,3,22.50,paid
S00132,2025-01-09,cinnamon bun,3,12.75,paid
S00133,2025-01-09,croissant,1,3.75,paid
S00134,2025-01-09,seed rye,2,16.50,paid
S00135,2025-01-09,sourdough loaf,2,15.00,paid
S00136,2025-01-09,croissant,2,7.50,paid
S00137,2025-01-09,cinnamon bun,3,12.75,paid
S00138,2025-01-09,apple tart,2,11.00,paid
S00139,2025-01-09,cinnamon bun,1,4.25,paid
S00140,2025-01-09,filter coffee,1,3.00,paid
S00141,2025-01-10,cinnamon bun,2,8.50,paid
S00142,2025-01-10,filter coffee,1,3.00,paid
S00143,2025-01-10,croissant,3,11.25,paid
S00144,2025-01-10,sourdough loaf,1,7.50,paid
S00145,2025-01-10,cinnamon bun,2,8.50,paid
S00146,2025-01-10,cinnamon bun,1,4.25,paid
S00147,2025-01-10,sourdough loaf,1,7.50,paid
S00148,2025-01-10,filter coffee,1,3.00,paid
S00149,2025-01-10,sourdough loaf,3,22.50,paid
S00150,2025-01-10,cinnamon bun,2,8.50,paid
S00151,2025-01-10,croissant,1,3.75,paid
S00152,2025-01-10,croissant,2,7.50,paid
S00153,2025-01-10,sourdough loaf,2,15.00,paid
S00154,2025-01-11,apple tart,1,5.50,paid
S00155,2025-01-11,cinnamon bun,1,4.25,paid
S00156,2025-01-11,filter coffee,1,3.00,paid
S00157,2025-01-11,croissant,1,3.75,paid
S00158,2025-01-11,apple tart,1,5.50,paid
S00159,2025-01-11,croissant,2,7.50,paid
S00160,2025-01-11,croissant,2,7.50,void
S00161,2025-01-11,croissant,2,7.50,paid
S00162,2025-01-11,apple tart,2,11.00,paid
S00163,2025-01-11,sourdough loaf,1,7.50,void
S00164,2025-01-11,sourdough loaf,1,7.50,paid
S00165,2025-01-11,sourdough loaf,2,15.00,paid
S00166,2025-01-11,seed rye,1,8.25,paid
S00167,2025-01-11,filter coffee,1,3.00,paid
S00168,2025-01-11,cinnamon bun,2,8.50,paid
S00169,2025-01-11,croissant,2,7.50,paid
S00170,2025-01-11,filter coffee,1,3.00,paid
S00171,2025-01-11,croissant,1,3.75,paid
S00172,2025-01-12,sourdough loaf,2,15.00,paid
S00173,2025-01-12,cinnamon bun,1,4.25,paid
S00174,2025-01-12,croissant,1,3.75,paid
S00175,2025-01-12,sourdough loaf,2,15.00,paid
S00176,2025-01-12,croissant,3,11.25,paid
S00177,2025-01-12,filter coffee,1,3.00,paid
S00178,2025-01-12,cinnamon bun,1,4.25,paid
S00179,2025-01-12,seed rye,3,24.75,paid
S00180,2025-01-12,seed rye,3,24.75,paid
S00181,2025-01-12,filter coffee,3,9.00,paid
S00182,2025-01-12,filter coffee,2,6.00,paid
S00183,2025-01-12,croissant,2,7.50,paid
S00184,2025-01-12,filter coffee,2,6.00,paid
S00185,2025-01-12,apple tart,1,5.50,paid
S00186,2025-01-12,filter coffee,3,9.00,refunded
S00187,2025-01-12,apple tart,3,16.50,paid
S00188,2025-01-12,croissant,3,11.25,paid
S00189,2025-01-12,cinnamon bun,1,4.25,paid
S00190,2025-01-12,cinnamon bun,2,8.50,refunded
S00191,2025-01-12,croissant,1,3.75,paid
S00192,2025-01-12,cinnamon bun,3,12.75,paid
S00193,2025-01-12,seed rye,1,8.25,paid
S00194,2025-01-13,sourdough loaf,1,7.50,void
S00195,2025-01-13,cinnamon bun,2,8.50,void
S00196,2025-01-14,filter coffee,1,3.00,paid
S00197,2025-01-14,cinnamon bun,1,4.25,paid
S00198,2025-01-14,cinnamon bun,3,12.75,paid
S00199,2025-01-14,filter coffee,2,6.00,paid
S00200,2025-01-14,apple tart,1,,paid
S00201,2025-01-14,cinnamon bun,2,8.50,paid
S00202,2025-01-14,seed rye,2,16.50,paid
S00203,2025-01-14,filter coffee,1,3.00,paid
S00204,2025-01-15,sourdough loaf,3,22.50,paid
S00205,2025-01-15,seed rye,2,16.50,paid
S00206,2025-01-15,seed rye,1,8.25,paid
S00207,2025-01-15,sourdough loaf,2,15.00,paid
S00208,2025-01-15,seed rye,3,24.75,paid
S00209,2025-01-15,cinnamon bun,1,4.25,paid
S00210,2025-01-15,apple tart,2,11.00,paid
S00211,2025-01-15,apple tart,3,16.50,paid
S00212,2025-01-15,sourdough loaf,1,7.50,paid
S00213,2025-01-15,apple tart,1,5.50,paid
S00214,2025-01-15,seed rye,1,8.25,paid
S00215,2025-01-15,seed rye,1,8.25,paid
S00216,2025-01-15,croissant,3,11.25,paid
S00217,2025-01-15,filter coffee,3,9.00,paid
S00218,2025-01-16,filter coffee,2,6.00,paid
S00219,2025-01-16,seed rye,1,8.25,paid
S00220,2025-01-16,croissant,1,3.75,paid
S00221,2025-01-16,croissant,3,11.25,paid
S00222,2025-01-16,apple tart,1,5.50,paid
S00223,2025-01-17,apple tart,1,5.50,paid
S00224,2025-01-17,croissant,1,3.75,paid
S00225,2025-01-17,apple tart,1,5.50,paid
S00226,2025-01-17,sourdough loaf,3,22.50,paid
S00227,2025-01-17,cinnamon bun,1,4.25,paid
S00228,2025-01-17,seed rye,2,16.50,paid
S00229,2025-01-17,sourdough loaf,2,15.00,paid
S00230,2025-01-17,seed rye,1,8.25,paid
S00231,2025-01-17,filter coffee,1,3.00,paid
S00232,2025-01-17,cinnamon bun,2,8.50,paid
S00233,2025-01-17,seed rye,1,8.25,refunded
S00234,2025-01-17,croissant,3,11.25,paid
S00235,2025-01-17,filter coffee,3,9.00,paid
S00236,2025-01-17,filter coffee,3,9.00,paid
S00237,2025-01-17,cinnamon bun,2,8.50,paid
S00238,2025-01-17,croissant,2,7.50,paid
S00239,2025-01-17,sourdough loaf,1,7.50,paid
S00240,2025-01-18,seed rye,3,24.75,paid
S00241,2025-01-18,croissant,1,3.75,paid
S00242,2025-01-18,cinnamon bun,1,4.25,paid
S00243,2025-01-18,croissant,3,11.25,paid
S00244,2025-01-18,croissant,1,3.75,void
S00245,2025-01-18,sourdough loaf,1,7.50,paid
S00246,2025-01-18,filter coffee,1,3.00,paid
S00247,2025-01-18,filter coffee,2,6.00,paid
S00248,2025-01-18,seed rye,3,24.75,paid
S00249,2025-01-18,sourdough loaf,3,22.50,paid
S00250,2025-01-18,apple tart,2,11.00,paid
S00251,2025-01-18,apple tart,3,16.50,paid
S00252,2025-01-18,filter coffee,1,3.00,paid
S00253,2025-01-18,filter coffee,3,9.00,paid
S00254,2025-01-18,sourdough loaf,2,15.00,paid
S00255,2025-01-18,apple tart,1,5.50,paid
S00256,2025-01-18,sourdough loaf,1,7.50,paid
S00257,2025-01-19,seed rye,2,16.50,paid
S00258,2025-01-19,cinnamon bun,2,8.50,paid
S00259,2025-01-19,croissant,2,7.50,paid
S00260,2025-01-19,apple tart,1,5.50,paid
S00261,2025-01-19,filter coffee,3,9.00,paid
S00262,2025-01-19,apple tart,2,11.00,paid
S00263,2025-01-19,filter coffee,2,6.00,paid
S00264,2025-01-19,apple tart,1,5.50,paid
S00265,2025-01-19,cinnamon bun,3,12.75,paid
S00266,2025-01-19,cinnamon bun,2,8.50,paid
S00267,2025-01-19,croissant,1,3.75,paid
S00268,2025-01-19,filter coffee,1,3.00,paid
S00269,2025-01-19,cinnamon bun,2,8.50,paid
S00270,2025-01-19,croissant,1,3.75,paid
S00271,2025-01-19,croissant,2,7.50,paid
S00272,2025-01-19,sourdough loaf,3,22.50,paid
S00273,2025-01-19,croissant,2,7.50,paid
S00274,2025-01-19,croissant,2,7.50,paid
S00275,2025-01-20,seed rye,3,24.75,paid
S00276,2025-01-20,apple tart,2,11.00,paid
S00277,2025-01-20,croissant,2,7.50,paid
S00278,2025-01-20,filter coffee,1,3.00,paid
S00279,2025-01-20,cinnamon bun,2,8.50,paid
S00280,2025-01-20,filter coffee,2,6.00,void
S00281,2025-01-20,apple tart,1,5.50,paid
S00282,2025-01-21,filter coffee,2,6.00,paid
S00283,2025-01-21,croissant,1,3.75,paid
S00284,2025-01-21,seed rye,1,8.25,paid
S00285,2025-01-21,cinnamon bun,1,4.25,paid
S00286,2025-01-21,seed rye,1,8.25,void
S00287,2025-01-21,cinnamon bun,3,12.75,paid
S00288,2025-01-21,sourdough loaf,2,15.00,paid
S00289,2025-01-21,cinnamon bun,1,4.25,paid
S00290,2025-01-21,apple tart,1,5.50,paid
S00291,2025-01-21,apple tart,3,16.50,paid
S00292,2025-01-21,apple tart,3,16.50,paid
S00293,2025-01-22,sourdough loaf,2,15.00,paid
S00294,2025-01-22,croissant,1,3.75,paid
S00295,2025-01-22,cinnamon bun,1,4.25,paid
S00296,2025-01-22,seed rye,2,16.50,paid
S00297,2025-01-22,filter coffee,2,6.00,paid
S00298,2025-01-22,apple tart,1,5.50,paid
S00299,2025-01-22,croissant,1,3.75,paid
S00300,2025-01-22,sourdough loaf,1,7.50,paid
S00301,2025-01-22,croissant,2,7.50,paid
S00302,2025-01-22,apple tart,3,16.50,paid
S00303,2025-01-23,cinnamon bun,1,4.25,paid
S00304,2025-01-23,seed rye,1,8.25,paid
S00305,2025-01-23,filter coffee,2,6.00,paid
S00306,2025-01-23,apple tart,1,5.50,paid
S00307,2025-01-23,apple tart,2,11.00,paid
S00308,2025-01-23,seed rye,1,8.25,paid
S00309,2025-01-23,seed rye,1,8.25,paid
S00310,2025-01-23,cinnamon bun,2,8.50,paid
S00311,23/01/2025,seed rye,1,8.25,paid
S00312,2025-01-23,filter coffee,1,3.00,paid
S00313,2025-01-23,croissant,2,7.50,paid
S00314,2025-01-24,filter coffee,1,3.00,paid
S00315,2025-01-24,apple tart,1,5.50,paid
S00316,2025-01-24,cinnamon bun,2,8.50,paid
S00317,2025-01-24,cinnamon bun,1,4.25,paid
S00318,2025-01-24,seed rye,1,8.25,paid
S00319,2025-01-24,croissant,3,11.25,paid
S00320,2025-01-24,croissant,1,3.75,paid
S00321,2025-01-24,apple tart,2,11.00,paid
S00322,2025-01-24,seed rye,2,16.50,paid
S00323,2025-01-24,filter coffee,2,6.00,paid
S00324,2025-01-24,filter coffee,2,6.00,paid
S00325,2025-01-24,croissant,1,3.75,paid
S00326,2025-01-25,sourdough loaf,2,15.00,paid
S00327,2025-01-25,cinnamon bun,2,8.50,paid
S00328,2025-01-25,croissant,2,7.50,paid
S00329,2025-01-25,croissant,1,3.75,paid
S00330,2025-01-25,sourdough loaf,1,7.50,paid
S00331,25/01/2025,filter coffee,1,3.00,paid
S00332,2025-01-25,apple tart,1,5.50,paid
S00333,2025-01-25,cinnamon bun,1,4.25,paid
S00334,2025-01-25,croissant,3,11.25,paid
S00335,2025-01-25,croissant,1,3.75,paid
S00336,2025-01-25,filter coffee,1,3.00,paid
S00337,2025-01-25,cinnamon bun,1,4.25,paid
S00338,2025-01-25,croissant,3,11.25,paid
S00339,2025-01-25,croissant,1,3.75,paid
S00340,2025-01-25,cinnamon bun,1,4.25,paid
S00341,2025-01-25,filter coffee,1,3.00,paid
S00342,2025-01-25,croissant,2,7.50,paid
S00343,2025-01-25,cinnamon bun,2,8.50,void
S00344,2025-01-25,cinnamon bun,2,8.50,paid
S00345,2025-01-25,apple tart,1,5.50,paid
S00346,2025-01-25,seed rye,1,8.25,paid
S00347,2025-01-26,seed rye,1,8.25,paid
S00348,2025-01-26,croissant,2,7.50,paid
S00349,2025-01-26,cinnamon bun,1,4.25,paid
S00350,2025-01-26,seed rye,1,8.25,paid
S00351,2025-01-26,apple tart,1,5.50,paid
S00352,2025-01-26,filter coffee,1,3.00,paid
S00353,2025-01-26,cinnamon bun,1,4.25,paid
S00354,2025-01-26,cinnamon bun,2,,paid
S00355,2025-01-26,seed rye,1,8.25,paid
S00356,2025-01-26,cinnamon bun,3,12.75,paid
S00357,2025-01-26,sourdough loaf,3,22.50,paid
S00358,2025-01-26,sourdough loaf,1,7.50,refunded
S00359,2025-01-26,cinnamon bun,2,8.50,paid
S00360,2025-01-26,croissant,1,3.75,paid
S00361,2025-01-26,apple tart,2,11.00,paid
S00362,2025-01-26,sourdough loaf,2,15.00,paid
S00363,2025-01-27,seed rye,1,8.25,paid
S00364,2025-01-27,croissant,1,3.75,paid
S00365,2025-01-27,seed rye,1,8.25,paid
S00366,2025-01-27,croissant,1,3.75,paid
S00367,2025-01-27,cinnamon bun,2,8.50,paid
S00368,2025-01-27,cinnamon bun,1,4.25,paid
S00369,2025-01-28,croissant,1,3.75,paid
S00370,2025-01-28,filter coffee,2,6.00,paid
S00371,2025-01-28,sourdough loaf,1,7.50,paid
S00372,2025-01-28,apple tart,2,11.00,paid
S00373,2025-01-28,sourdough loaf,2,15.00,paid
S00374,2025-01-28,croissant,1,3.75,paid
S00375,2025-01-28,sourdough loaf,2,15.00,paid
S00376,2025-01-28,cinnamon bun,2,8.50,paid
S00377,2025-01-28,cinnamon bun,2,8.50,paid
S00378,2025-01-28,apple tart,1,5.50,paid
S00379,2025-01-28,cinnamon bun,1,4.25,paid
S00380,2025-01-28,seed rye,2,16.50,paid
S00381,2025-01-29,cinnamon bun,1,4.25,paid
S00382,2025-01-29,cinnamon bun,2,8.50,paid
S00383,2025-01-29,sourdough loaf,2,15.00,paid
S00384,2025-01-29,cinnamon bun,3,12.75,paid
S00385,2025-01-29,seed rye,1,8.25,paid
S00386,2025-01-29,apple tart,3,16.50,paid
S00387,2025-01-29,filter coffee,2,6.00,paid
S00388,2025-01-29,filter coffee,1,3.00,paid
S00389,2025-01-30,filter coffee,1,3.00,paid
S00390,2025-01-30,filter coffee,3,9.00,paid
S00391,2025-01-30,filter coffee,1,3.00,paid
S00392,2025-01-30,seed rye,1,8.25,paid
S00393,2025-01-30,croissant,1,3.75,paid
S00394,2025-01-30,sourdough loaf,1,7.50,paid
S00395,2025-01-30,seed rye,2,16.50,void
S00396,2025-01-30,filter coffee,2,6.00,paid
S00397,2025-01-30,apple tart,1,5.50,paid
S00398,2025-01-30,seed rye,2,16.50,paid
S00399,2025-01-30,seed rye,2,16.50,paid
S00400,2025-01-31,cinnamon bun,2,8.50,paid
S00401,2025-01-31,seed rye,2,16.50,paid
S00402,2025-01-31,croissant,2,7.50,paid
S00403,2025-01-31,apple tart,3,16.50,paid
S00404,2025-01-31,apple tart,3,16.50,paid
S00405,2025-01-31,sourdough loaf,3,22.50,paid
S00406,2025-01-31,apple tart,2,11.00,paid
S00407,2025-01-31,croissant,1,3.75,paid
S00408,2025-01-31,seed rye,2,16.50,paid
S00409,2025-01-31,sourdough loaf,3,22.50,paid
S00410,2025-01-31,croissant,1,3.75,paid
S00411,2025-02-01,cinnamon bun,1,4.25,paid
S00412,2025-02-01,seed rye,1,8.25,paid
S00413,2025-02-01,seed rye,1,8.25,paid
S00414,2025-02-01,seed rye,1,8.25,refunded
S00415,2025-02-01,filter coffee,3,9.00,paid
S00416,2025-02-01,filter coffee,1,3.00,paid
S00417,2025-02-01,croissant,1,3.75,void
S00418,2025-02-01,seed rye,2,16.50,paid
S00419,2025-02-01,cinnamon bun,2,8.50,paid
S00420,2025-02-01,sourdough loaf,1,7.50,paid
S00421,2025-02-01,sourdough loaf,1,7.50,paid
S00422,2025-02-01,croissant,1,3.75,paid
S00423,2025-02-01,seed rye,1,8.25,paid
S00424,2025-02-01,apple tart,1,5.50,paid
S00425,2025-02-01,cinnamon bun,2,8.50,paid
S00426,2025-02-01,sourdough loaf,3,22.50,paid
S00427,2025-02-01,filter coffee,1,3.00,paid
S00428,2025-02-01,sourdough loaf,3,22.50,paid
S00429,2025-02-01,sourdough loaf,1,7.50,paid
S00430,2025-02-01,sourdough loaf,3,22.50,paid
S00431,2025-02-01,cinnamon bun,1,4.25,paid
S00432,2025-02-01,croissant,1,3.75,paid
S00433,2025-02-01,filter coffee,1,3.00,paid
S00434,2025-02-01,cinnamon bun,3,12.75,paid
S00435,2025-02-01,croissant,3,11.25,paid
S00436,2025-02-01,cinnamon bun,1,4.25,paid
S00437,2025-02-01,croissant,2,7.50,paid
S00438,2025-02-01,filter coffee,3,9.00,paid
S00439,2025-02-01,apple tart,1,5.50,paid
S00440,2025-02-02,sourdough loaf,1,7.50,paid
S00441,2025-02-02,apple tart,3,16.50,paid
S00442,2025-02-02,sourdough loaf,1,7.50,paid
S00443,2025-02-02,apple tart,3,16.50,paid
S00444,2025-02-02,apple tart,1,5.50,paid
S00445,2025-02-02,croissant,1,3.75,refunded
S00446,2025-02-02,croissant,3,11.25,paid
S00447,2025-02-02,cinnamon bun,2,8.50,paid
S00448,2025-02-02,filter coffee,3,9.00,paid
S00449,2025-02-02,croissant,3,11.25,paid
S00450,2025-02-02,seed rye,1,8.25,paid
S00451,2025-02-02,croissant,3,11.25,paid
S00452,2025-02-02,croissant,1,3.75,paid
S00453,2025-02-02,cinnamon bun,1,4.25,paid
S00454,2025-02-02,cinnamon bun,2,8.50,paid
S00455,2025-02-02,sourdough loaf,2,15.00,void
S00456,2025-02-02,apple tart,2,11.00,paid
S00457,2025-02-02,seed rye,1,8.25,paid
S00458,2025-02-02,apple tart,3,16.50,paid
S00459,2025-02-02,sourdough loaf,2,15.00,paid
S00460,2025-02-02,apple tart,1,5.50,paid
S00461,2025-02-02,filter coffee,1,3.00,paid
S00462,2025-02-02,cinnamon bun,1,4.25,paid
S00463,2025-02-02,apple tart,2,11.00,paid
S00464,2025-02-03,croissant,1,3.75,paid
S00465,2025-02-03,croissant,2,7.50,paid
S00466,2025-02-03,filter coffee,1,3.00,paid
S00467,2025-02-03,seed rye,2,16.50,paid
S00468,2025-02-03,cinnamon bun,1,4.25,paid
S00469,2025-02-03,croissant,2,7.50,paid
S00470,2025-02-04,cinnamon bun,2,8.50,paid
S00471,2025-02-04,filter coffee,2,6.00,paid
S00472,2025-02-04,seed rye,3,24.75,paid
S00473,2025-02-04,apple tart,1,5.50,paid
S00474,2025-02-04,croissant,1,3.75,paid
S00475,2025-02-04,cinnamon bun,2,8.50,paid
S00476,2025-02-04,filter coffee,1,3.00,paid
S00477,2025-02-04,sourdough loaf,1,7.50,paid
S00478,2025-02-04,cinnamon bun,3,12.75,paid
S00479,2025-02-04,sourdough loaf,3,22.50,paid
S00480,2025-02-04,sourdough loaf,2,15.00,paid
S00481,2025-02-05,sourdough loaf,3,22.50,void
S00482,2025-02-05,filter coffee,2,6.00,paid
S00483,2025-02-05,croissant,1,3.75,paid
S00484,2025-02-05,sourdough loaf,3,22.50,paid
S00485,2025-02-05,filter coffee,1,3.00,paid
S00486,2025-02-05,cinnamon bun,1,4.25,paid
S00487,2025-02-05,sourdough loaf,1,7.50,paid
S00488,2025-02-05,apple tart,2,11.00,paid
S00489,2025-02-05,seed rye,1,8.25,paid
S00490,2025-02-05,apple tart,2,11.00,paid
S00491,2025-02-05,filter coffee,1,3.00,paid
S00492,2025-02-05,apple tart,3,16.50,paid
S00493,2025-02-05,apple tart,1,5.50,paid
S00494,2025-02-06,sourdough loaf,1,7.50,paid
S00495,2025-02-06,filter coffee,1,3.00,paid
S00496,2025-02-06,seed rye,1,8.25,paid
S00497,2025-02-06,seed rye,1,8.25,paid
S00498,2025-02-06,filter coffee,2,6.00,paid
S00499,2025-02-06,croissant,1,3.75,paid
S00500,2025-02-07,apple tart,3,16.50,paid
S00501,2025-02-07,cinnamon bun,2,8.50,paid
S00502,2025-02-07,seed rye,1,8.25,paid
S00503,2025-02-07,cinnamon bun,1,4.25,paid
S00504,2025-02-07,sourdough loaf,1,7.50,refunded
S00505,2025-02-07,croissant,1,3.75,paid
S00506,2025-02-07,apple tart,1,5.50,paid
S00507,2025-02-07,croissant,1,3.75,paid
S00508,2025-02-07,filter coffee,2,6.00,paid
S00509,2025-02-07,croissant,1,3.75,paid
S00510,2025-02-07,cinnamon bun,1,4.25,paid
S00511,2025-02-07,seed rye,1,8.25,void
S00512,2025-02-07,sourdough loaf,2,15.00,paid
S00513,2025-02-07,croissant,3,11.25,paid
S00514,2025-02-07,croissant,2,7.50,paid
S00515,2025-02-08,sourdough loaf,1,7.50,paid
S00516,2025-02-08,sourdough loaf,1,7.50,paid
S00517,2025-02-08,sourdough loaf,1,7.50,paid
S00518,2025-02-08,seed rye,3,24.75,paid
S00519,2025-02-08,sourdough loaf,3,22.50,paid
S00520,2025-02-08,filter coffee,1,3.00,paid
S00521,2025-02-08,filter coffee,2,6.00,paid
S00522,2025-02-08,croissant,1,3.75,paid
S00523,2025-02-08,cinnamon bun,2,8.50,paid
S00524,2025-02-08,seed rye,1,8.25,paid
S00525,2025-02-08,sourdough loaf,3,22.50,paid
S00526,2025-02-08,cinnamon bun,1,4.25,paid
S00527,2025-02-08,filter coffee,1,3.00,paid
S00528,2025-02-08,croissant,2,7.50,paid
S00529,2025-02-08,sourdough loaf,2,15.00,paid
S00530,2025-02-08,cinnamon bun,3,12.75,paid
S00531,2025-02-08,croissant,2,7.50,paid
S00532,2025-02-08,filter coffee,1,3.00,paid
S00533,2025-02-08,cinnamon bun,1,4.25,paid
S00534,2025-02-08,filter coffee,3,9.00,paid
S00535,2025-02-08,filter coffee,3,9.00,paid
S00536,2025-02-08,filter coffee,1,3.00,paid
